"","l2fc","fg_exprs","bg_exprs"
"GUSB",-0.427078906368237,6.4907034229998e-05,8.761256959875e-05
"ASL",-1.56289992947036,1.2466034537384e-05,3.8785011047668e-05
"AC068533.7",0.00537782712473051,3.7345819464901e-09,0
"CRCP",-0.46891998410487,1.03559957376171e-05,1.4717526513624e-05
"RP5-1132H15.1",0,0,0
"TPST1",-2.77618171345608,9.78460469980407e-07,1.25531843792675e-05
"LINC00174",-0.496987277907797,7.2077431567259e-07,1.42846580867527e-06
"GS1-124K5.3",-0.0675920348337094,2.18473043869671e-06,2.33748950510499e-06
"GS1-124K5.4",-1.11478810138313,3.83915024099183e-06,9.47981854848135e-06
"GS1-124K5.11",-0.0393088688541145,2.4162745193791e-06,2.51063687585351e-06
"KCTD7",0.0479234681546747,2.67396067368691e-06,2.55392371854064e-06
"RABGEF1",-0.149962597696051,3.95865686327951e-06,4.50183163946146e-06
"RP11-792A8.4",-1.54555247435108,1.14278207562597e-05,3.52787767900105e-05
"RP11-458F8.4",-0.994358574319446,8.92565085211135e-07,2.77035793197629e-06
"TMEM248",-0.551008474827666,4.62752048989589e-05,6.82633509176031e-05
"SBDS",-0.450092474712149,7.2450889761908e-05,9.93433039669621e-05
"TYW1",-0.522512146161473,5.09023519306601e-06,7.74834484099617e-06
"RP11-166O4.6",0.0778154990579448,1.65441980229512e-06,1.51503949404953e-06
"LINC01372",0.0577492515941543,8.58953847692724e-08,4.32868426871295e-08
"RP4-736H5.3",-0.114408186252655,3.7345819464901e-09,8.65736853742589e-08
"RP11-358M3.1",0,0,0
"RP5-945F2.2",-0.0930951289587354,1.86729097324505e-08,8.65736853742589e-08
"RP5-945F2.3",0,0,0
"RP11-123O1.1",0,0,0
"RP11-3P22.1",0,0,0
"RP11-3P22.2",0.00537782712473051,3.7345819464901e-09,0
"RP5-942I16.1",-0.0557580417856923,3.7345819464901e-09,4.32868426871295e-08
"AUTS2",-2.1503574654755,4.27609632873117e-06,2.24225845119331e-05
"WBSCR17",-0.91144294537438,1.49383277859604e-08,9.09023696429719e-07
"CALN1",-0.017620629985077,2.01667425110466e-07,2.16434213435647e-07
"TYW1B",-0.561290524658802,1.43781404939869e-06,2.59721056122777e-06
"POM121",-0.790921187515368,8.80987881177015e-06,1.59728449515508e-05
"RP11-313P13.5",0.094475611403459,6.68490168421728e-07,5.62728954932683e-07
"TRIM74",-0.0611358689104228,0,4.32868426871295e-08
"NSUN5",-0.943726212046824,1.90986520743504e-05,3.76595531378026e-05
